Change Physical Footprint: Designator=403 Old Footprint=R0805FTK New Footprint=R0805FTK
Change Physical Footprint: Designator=C1 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C2 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C3 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C4 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C5 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C6 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C7 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C8 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C9 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C10 Old Footprint=FHA85Y106KS New Footprint=FHA85Y106KS
Change Physical Footprint: Designator=C201 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C202 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C203 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C401 Old Footprint=C0805FNPC-W New Footprint=C0805FNPC-W
Change Physical Footprint: Designator=C402 Old Footprint=C0805FNPC-W New Footprint=C0805FNPC-W
Change Physical Footprint: Designator=C403 Old Footprint=C0805FNPC-W New Footprint=C0805FNPC-W
Change Physical Footprint: Designator=C404 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C405 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=C406 Old Footprint=C0805FNPC-R New Footprint=C0805FNPC-R
Change Physical Footprint: Designator=CSA Old Footprint=CKSR 50-NP New Footprint=CKSR 50-NP
Change Physical Footprint: Designator=CSB Old Footprint=CKSR 50-NP New Footprint=CKSR 50-NP
Change Physical Footprint: Designator=CSC Old Footprint=CKSR 50-NP New Footprint=CKSR 50-NP
Change Physical Footprint: Designator=HB_A Old Footprint=DFS05HF12EYR1 New Footprint=DFS05HF12EYR1
Change Physical Footprint: Designator=HB_B Old Footprint=DFS05HF12EYR1 New Footprint=DFS05HF12EYR1
Change Physical Footprint: Designator=HB_C Old Footprint=DFS05HF12EYR1 New Footprint=DFS05HF12EYR1
Change Physical Footprint: Designator=J1 Old Footprint=690367292076 New Footprint=690367292076
Change Physical Footprint: Designator=MP+ Old Footprint=7461096_HAL New Footprint=7461096_HAL
Change Physical Footprint: Designator=MP- Old Footprint=7461096_HAL New Footprint=7461096_HAL
Change Physical Footprint: Designator=MP_A Old Footprint=7461096_HAL New Footprint=7461096_HAL
Change Physical Footprint: Designator=MP_B Old Footprint=7461096_HAL New Footprint=7461096_HAL
Change Physical Footprint: Designator=MP_C Old Footprint=7461096_HAL New Footprint=7461096_HAL
Change Physical Footprint: Designator=R401 Old Footprint=R0805FTK New Footprint=R0805FTK
Change Physical Footprint: Designator=R402 Old Footprint=R0805FTK New Footprint=R0805FTK
